# key<TAB>en<TAB>ja<TAB>ko — zh comes from module TSVs; missing/untranslated keys fall back to zh.
settings_language	Language	言語	언어
comfy_status_connection_failed	Connection failed - is the ComfyUI server reachable?	接続に失敗しました - ComfyUIサーバーに到達できますか？	연결 실패 - ComfyUI 서버에 연결할 수 있습니까?
comfy_error_workflow_missing	No ComfyUI workflow configured. Paste an API-format workflow JSON in Settings first	ComfyUIワークフローが未設定です。先に設定でAPI形式のワークフローJSONを貼り付けてください	ComfyUI 워크플로가 구성되지 않았습니다. 먼저 설정에서 API 형식 워크플로 JSON을 붙여넣으세요
comfy_error_workflow_invalid	The ComfyUI workflow is not a valid JSON object	ComfyUIワークフローが有効なJSONオブジェクトではありません	ComfyUI 워크플로가 유효한 JSON 개체가 아닙니다
comfy_error_prompt_unbound	The ComfyUI workflow has no image prompt wired in. Set the positive prompt node's full text to %1$s and connect it to the sampler	ComfyUIワークフローに画像プロンプトが接続されていません。ポジティブプロンプトノードの全文を%1$sにし、サンプラーに接続してください	ComfyUI 워크플로에 이미지 프롬프트가 연결되지 않았습니다. 긍정 프롬프트 노드의 전체 텍스트를 %1$s(으)로 설정하고 샘플러에 연결하세요
comfy_error_prompt_empty	The image prompt has no usable text; generation stopped	画像プロンプトに有効なテキストがないため、生成を停止しました	이미지 프롬프트에 유효한 텍스트가 없어 생성을 중지했습니다
comfy_error_no_prompt_id	ComfyUI did not return a task ID	ComfyUIがタスクIDを返しませんでした	ComfyUI가 작업 ID를 반환하지 않았습니다
comfy_error_timeout	ComfyUI generation timed out (10 minutes)	ComfyUIの生成がタイムアウトしました（10分）	ComfyUI 생성 시간 초과(10분)
comfy_error_no_images	ComfyUI finished but produced no images	ComfyUIは完了しましたが画像が生成されませんでした	ComfyUI가 완료되었지만 이미지가 생성되지 않았습니다
comfy_error_request_failed	ComfyUI request failed	ComfyUIリクエストに失敗しました	ComfyUI 요청 실패
comfy_error_bad_response	Could not parse the ComfyUI response: %1$s	ComfyUIの応答を解析できませんでした：%1$s	ComfyUI 응답을 구문 분석할 수 없습니다: %1$s
comfy_error_node_errors	Workflow node validation failed: %1$s	ワークフローノードの検証に失敗しました：%1$s	워크플로 노드 검증 실패: %1$s
comfy_error_history_http	Failed to query generation history: HTTP %1$d	生成履歴の照会に失敗しました：HTTP %1$d	생성 기록 조회 실패: HTTP %1$d
comfy_error_history_unparseable	Could not parse the history response	履歴レスポンスを解析できませんでした	기록 응답을 구문 분석할 수 없습니다
comfy_error_download_http	Failed to download the generated image: HTTP %1$d	生成画像のダウンロードに失敗しました：HTTP %1$d	생성 이미지 다운로드 실패: HTTP %1$d
comfy_error_empty_image_response	The image response was empty	画像レスポンスが空です	이미지 응답이 비어 있습니다
comfy_error_execution	ComfyUI execution error	ComfyUIの実行エラー	ComfyUI 실행 오류
novai_status_token_missing	No NovelAI token configured	NovelAIトークンが未設定です	NovelAI 토큰이 구성되지 않았습니다
novai_status_token_invalid_suffix	: token invalid or expired	：トークンが無効または期限切れです	: 토큰이 유효하지 않거나 만료되었습니다
novai_status_tier_unknown	Unknown tier	不明なティア	알 수 없는 등급
novai_status_active	Token valid, subscription active (%1$s)	トークンは有効で、サブスクリプションが有効です（%1$s）	토큰이 유효하고 구독이 활성 상태입니다(%1$s)
novai_status_inactive	Token valid, but subscription not active (%1$s)	トークンは有効ですが、サブスクリプションが有効ではありません（%1$s）	토큰은 유효하지만 구독이 활성화되지 않았습니다(%1$s)
novai_status_connect_failed	Failed to connect to NovelAI: %1$s	NovelAIへの接続に失敗しました：%1$s	NovelAI 연결 실패: %1$s
novai_error_token_missing	No NovelAI token configured. Enter and save one in Settings first	NovelAIトークンが未設定です。先に設定で入力して保存してください	NovelAI 토큰이 구성되지 않았습니다. 먼저 설정에서 입력하고 저장하세요
novai_error_request_failed	NovelAI request failed	NovelAIリクエストに失敗しました	NovelAI 요청 실패
novai_error_empty_response	NovelAI returned an empty response	NovelAIの応答が空です	NovelAI 응답이 비어 있습니다
novai_error_no_png	The NovelAI archive contains no PNG image	NovelAIのアーカイブにPNG画像がありません	NovelAI 압축 파일에 PNG 이미지가 없습니다
novai_error_token_invalid	Token invalid or expired	トークンが無効または期限切れです	토큰이 유효하지 않거나 만료되었습니다
novai_error_subscription	The current subscription does not support this request (may require Anlas)	現在のサブスクリプションではこのリクエストをサポートしていません（Anlasが必要な場合があります）	현재 구독에서는 이 요청을 지원하지 않습니다(Anlas가 필요할 수 있음)
novai_error_request_http	NovelAI request failed: HTTP %1$d	NovelAIリクエストに失敗しました：HTTP %1$d	NovelAI 요청 실패: HTTP %1$d
oai_status_base_url_required	Base URL is required	Base URLを入力してください	Base URL을 입력하세요
oai_status_connected	Connected	接続済み	연결됨
oai_status_connection_failed	Connection failed	接続に失敗しました	연결 실패
oai_status_model_required	Please enter a model name or endpoint ID before testing this provider.	テストの前にモデル名またはエンドポイントIDを入力してください。	이 공급자를 테스트하기 전에 모델 이름 또는 엔드포인트 ID를 입력하세요.
oai_error_stream_invalid	The provider returned no valid streaming response. Check the relay endpoint or retry later	プロバイダーから有効なストリーミング応答が返されませんでした。中継エンドポイントを確認するか、後でもう一度お試しください	공급자가 유효한 스트리밍 응답을 반환하지 않았습니다. 중계 엔드포인트를 확인하거나 나중에 다시 시도하세요
oai_error_stream_incomplete	The model stream ended before the completion marker (%1$d frames received)	モデルのストリームが完了マーカーの前に終了しました（%1$dフレーム受信）	모델 스트림이 완료 마커 전에 끝났습니다(%1$d프레임 수신)
oai_error_model_not_configured	No model configured for the current provider	現在のプロバイダーにモデルが設定されていません	현재 공급자에 모델이 구성되지 않았습니다
oai_error_response_error	The provider returned a generation error	プロバイダーが生成エラーを返しました	공급자가 생성 오류를 반환했습니다
grt_error_no_preset	No generation preset available for %1$s	%1$sに利用可能な生成プリセットがありません	%1$s에 사용 가능한 생성 프리셋이 없습니다
prrepo_error_not_found	Preset not found: %1$s/%2$s	プリセットが見つかりません：%1$s/%2$s	프리셋을 찾을 수 없음: %1$s/%2$s
prrepo_error_invalid_json	Invalid preset JSON: %1$s is not a valid JSON object	プリセットJSONが無効です：%1$sは有効なJSONオブジェクトではありません	프리셋 JSON이 잘못되었습니다: %1$s은(는) 유효한 JSON 개체가 아닙니다
prrepo_warning_routing_preserved	Provider, endpoint and model fields were kept but will not be applied: %1$s	プロバイダー・エンドポイント・モデルの各フィールドは保持されていますが、適用されません：%1$s	공급자, 엔드포인트, 모델 필드는 유지되지만 적용되지 않습니다: %1$s
wbrepo_error_invalid_json	Invalid world book JSON: %1$s is not a valid JSON object	ワールドブックJSONが無効です：%1$sは有効なJSONオブジェクトではありません	월드북 JSON이 잘못되었습니다: %1$s은(는) 유효한 JSON 개체가 아닙니다
wbrepo_error_missing_entries	Invalid world book JSON: %1$s is missing the entries object	ワールドブックJSONが無効です：%1$sにentriesオブジェクトがありません	월드북 JSON이 잘못되었습니다: %1$s에 entries 개체가 없습니다
chatrepo_error_session_not_found	Chat session not found: %1$s	チャットセッションが見つかりません：%1$s	채팅 세션을 찾을 수 없음: %1$s
chatrepo_error_memory_mode_locked	This chat's memory mode is locked	このセッションの記憶モードはロックされています	이 대화의 기억 모드가 잠겨 있습니다
cregex_unnamed_script	Unnamed script	名称未スクリプト	이름 없는 스크립트
cregex_diag_invalid_regex	Invalid or unsupported regex/flags; rule skipped	無効または非対応の正規表現/フラグのため、このルールをスキップしました	잘못되었거나 지원되지 않는 정규식/플래그로 규칙을 건너뛰었습니다
cregex_diag_replace_failed	Regex replacement failed; rule skipped	正規表現置換に失敗したため、このルールをスキップしました	정규식 치환 실패로 규칙을 건너뛰었습니다
memmod_error_mode_locked	Memory mode is locked	記憶モードはロックされています	기억 모드가 잠겨 있습니다
memsvc_error_vector_need_enable	Enable memory and vector search first	先に記憶とベクトル検索を有効にしてください	먼저 기억과 벡터 검색을 활성화하세요
memsvc_error_vector_model_missing	No vector model configured	ベクトルモデルが未設定です	벡터 모델이 구성되지 않았습니다
memsvc_error_vector_invalid_result	The vector API returned no valid results	ベクトルAPIが有効な結果を返しませんでした	벡터 API가 유효한 결과를 반환하지 않았습니다
webviewhost_error_module_not_ready	Module did not report ready within %1$d ms	モジュールが%1$d ms以内に準備完了を報告しませんでした	모듈이 %1$d ms 내에 준비 완료를 보고하지 않았습니다
main_import_success	Imported character "%1$s"	キャラクター「%1$s」をインポートしました	캐릭터 "%1$s"을(를) 가져왔습니다
main_import_failed	Import failed: %1$s	インポートに失敗しました：%1$s	가져오기 실패: %1$s
main_error_read_file	Could not read the file	ファイルを読み取れませんでした	파일을 읽을 수 없습니다
memmod_mode_none	No memory	記憶なし	기억 없음
memmod_mode_archive	Archive style	柏宝書式	아카이브 스타일
memmod_mode_episodic	STARmem style	STARmem式	STARmem 방식
crs_add_entry	Add entry	エントリを追加	항목 추가
crs_agent_replying	agent is replying	agentが返信中	agent가 응답 중
crs_assets_hint	Create or edit these assets by asking the AI in the chat. Scripts export with the character card JSON/PNG; verify their behavior in a real chat.	チャットでAIに依頼してこれらのリソースを作成・編集できます。スクリプトはキャラカードのJSON/PNGと一緒にエクスポートされます。動作はチャット内で確認してください。	채팅에서 AI에게 요청하여 이 리소스를 만들거나 수정할 수 있습니다. 스크립트는 캐릭터 카드 JSON/PNG와 함께 내보내집니다. 동작은 채팅에서 확인해 주세요.
crs_assets_summary	TavernHelper scripts %1$d · Regex %2$d · Variables %3$d	TavernHelperスクリプト %1$d · 正規表現 %2$d · 変数 %3$d	TavernHelper 스크립트 %1$d · 정규식 %2$d · 변수 %3$d
crs_back	Back	戻る	뒤로
crs_brief_hint	Fill in only what you already have in mind; you can also skip the form and chat directly below.	考えている部分だけ記入すればOKです。フォームをスキップして、下で直接会話しても構いません。	생각해 둔 부분만 채우면 됩니다. 폼을 건너뛰고 아래에서 바로 대화해도 됩니다.
crs_brief_title	Creation Brief	作成の起点	창작 시작점
crs_btn_ai_decide	Let the AI decide	AIに任せる	AI에게 맡기기
crs_btn_check_assets	Check assets with AI	AIにリソースを確認させる	AI에게 리소스 확인시키기
crs_btn_continue_guide	Continue guiding	ガイドを続ける	가이드 계속
crs_btn_discuss_one_by_one	Discuss item by item	1件ずつ議論する	항목별로 논의
crs_btn_generate_draft	Generate draft	初稿を生成	초안 생성
crs_btn_status_bar	Make a dynamic status bar	動的ステータスバーを作る	동적 상태바 만들기
crs_cancel	Cancel	キャンセル	취소
crs_collapse_draft_stream	Collapse structured draft	構造化ドラフトを折りたたむ	구조화 초안 접기
crs_constant_entry	Constant entry	常駐エントリ	상시 항목
crs_continue_extract	Continue extracting	抽出を続ける	추출 계속
crs_continue_incomplete	Continue unfinished creation	未完了の作成を続ける	완료되지 않은 창작 계속하기
crs_conversation_intro	Start from a single idea. You can also specify the narrative perspective, relationships, style, opening, world rules or frontend; the agent will produce a draft for you to refine.	ひと言のアイデアから始められます。語り視点・人物関係・スタイル・冒頭・世界のルール・フロントエンド形式を指定してもOK。agentが修正用のドラフトを提案します。	한 마디 아이디어에서 시작할 수 있습니다. 서술 시점, 인물 관계, 스타일, 도입부, 세계 규칙, 프론트엔드 형식을 지정해도 됩니다. agent가 수정할 초안을 제안합니다.
crs_cover_cd	Character cover preview	キャラカバープレビュー	캐릭터 커버 미리보기
crs_cover_change	Change cover image	カバー画像を変更	커버 이미지 변경
crs_cover_failed	Failed to set cover: %1$s	カバーの設定に失敗しました：%1$s	커버 설정 실패: %1$s
crs_cover_missing_hint	No cover set yet. JSON can be exported directly; PNG requires a cover first.	カバーが未設定です。JSONはそのままエクスポートできます。PNGには先にカバーが必要です。	아직 커버가 설정되지 않았습니다. JSON은 바로 내보낼 수 있으며, PNG는 먼저 커버가 필요합니다.
crs_cover_pick	Choose cover image	カバー画像を選択	커버 이미지 선택
crs_cover_title	Character Cover	キャラカバー	캐릭터 커버
crs_delete	Delete	削除	삭제
crs_delete_draft_body	This deletes the chat, source text and cover of "%1$s". Finished cards already saved to the character list or world books are kept.	「%1$s」の会話・原文・カバーを削除します。キャラクター一覧やワールドブックに保存済みの成果物は残ります。	"%1$s"의 대화, 원문, 커버를 삭제합니다. 캐릭터 목록이나 월드북에 저장된 결과물은 유지됩니다.
crs_delete_draft_title	Delete creation draft?	作成ドラフトを削除しますか？	창작 초안을 삭제하시겠습니까?
crs_delete_entry	Delete entry	エントリを削除	항목 삭제
crs_delta_stats	First chunk arrived at %1$ds, last at %2$ds; chunks spanned %3$ds, %4$d in total.	最初のチャンクは%1$d秒、最後は%2$d秒に到着。チャンクの総時間は%3$d秒、計%4$d個でした。	첫 청크는 %1$d초, 마지막은 %2$d초에 도착했습니다. 청크 지속 %3$d초, 총 %4$d개.
crs_disabled	Off	オフ	끔
crs_draft_raw_title	Structured draft raw text (before validation)	構造化ドラフト原文（検証前）	구조화 초안 원문(검증 전)
crs_drafts_title	Creation Drafts	作成ドラフト	창작 초안
crs_duplicate_titles	There are %1$d groups of duplicate titles. Check for duplicates or conflicts.	同名エントリが%1$d組あります。重複や競合を確認してください。	동일 제목 항목이 %1$d그룹 있습니다. 중복이나 충돌을 확인하세요.
crs_editor_title_character	Create Character Card	キャラカードを作成	캐릭터 카드 만들기
crs_editor_title_worldbook	Create World Book	ワールドブックを作成	월드북 만들기
crs_enabled	On	オン	켬
crs_error_file_too_large	The file exceeds 12 MB. Please split it; nothing was truncated on import.	ファイルが12MBを超えています。分割してください。取り込み時の切り詰めはしていません。	파일이 12MB를 초과합니다. 분할해 주세요. 가져오기 시 잘라내지 않았습니다.
crs_error_image_too_large	The image exceeds 12 MB. Please choose a smaller file.	画像が12MBを超えています。より小さいファイルを選んでください。	이미지가 12MB를 초과합니다. 더 작은 파일을 선택하세요.
crs_error_not_utf8	Only UTF-8 text is supported; the file encoding could not be decoded. The source was not processed.	UTF-8テキストのみ対応です。ファイルのエンコーディングをデコードできず、原文は処理していません。	UTF-8 텍스트만 지원합니다. 파일 인코딩을 디코딩할 수 없어 원문을 처리하지 않았습니다.
crs_error_parse_image	Could not parse the selected image	選択した画像を解析できませんでした	선택한 이미지를 해석할 수 없습니다
crs_error_read_image	Could not read the selected image	選択した画像を読み取れませんでした	선택한 이미지를 읽을 수 없습니다
crs_error_read_source	Could not read the source text	原文を読み取れませんでした	원문을 읽을 수 없습니다
crs_error_write_file	Could not write to the selected file	選択したファイルに書き込めませんでした	선택한 파일에 쓸 수 없습니다
crs_export_failed	Export failed: %1$s	エクスポートに失敗しました：%1$s	내보내기 실패: %1$s
crs_export_json	Export JSON	JSONをエクスポート	JSON 내보내기
crs_export_json_done	JSON character card exported.	JSONキャラカードをエクスポートしました。	JSON 캐릭터 카드를 내보냈습니다.
crs_export_png	Export PNG card	PNGキャラカードをエクスポート	PNG 카드 내보내기
crs_export_png_done	PNG character card exported.	PNGキャラカードをエクスポートしました。	PNG 캐릭터 카드를 내보냈습니다.
crs_export_worldbook_done	World book JSON exported. It can be imported into SillyTavern directly.	ワールドブックJSONをエクスポートしました。SillyTavernにそのままインポートできます。	월드북 JSON을 내보냈습니다. SillyTavern에 바로 가져올 수 있습니다.
crs_export_worldbook_json	Export world book JSON	ワールドブックJSONをエクスポート	월드북 JSON 내보내기
crs_field_alternate_greetings	Alternate greetings (separated by blank lines)	代替の冒頭メッセージ（空行で区切る）	대체 인사말(빈 줄로 구분)
crs_field_characters	One per line: name, relation to the user, brief	1行に1人：名前・ユーザーとの関係・簡単な説明	한 줄에 한 명: 이름, 사용자와의 관계, 간단한 소개
crs_field_creator_notes	Creator notes	作成者ノート	제작자 노트
crs_field_description	Description & background	説明と背景	설명 및 배경
crs_field_example_messages	Example dialogs	例会話	예시 대화
crs_field_first_message	Opening message	冒頭メッセージ	도입 메시지
crs_field_frontend_html	HTML/CSS snippet	HTML/CSSスニペット	HTML/CSS 스니펫
crs_field_keys	Keywords (comma-separated)	キーワード（カンマ区切り）	키워드(쉼표로 구분)
crs_field_lore_content	Entry content	エントリ内容	항목 내용
crs_field_lore_title	Title	タイトル	제목
crs_field_name	Name	名前	이름
crs_field_note	Notes / facts or rumors	説明・事実または噂	설명 / 사실 또는 소문
crs_field_paste_source	Paste source text (optional)	原文を貼り付け（任意）	원문 붙여넣기(선택 사항)
crs_field_persona	The identity you play (optional)	あなたが演じる人物（任意）	당신이 연기할 신분(선택 사항)
crs_field_personality	Personality & behavior	性格と行動	성격 및 행동
crs_field_post_history	Post-history instructions	履歴後プロンプト	기록 후 프롬프트
crs_field_premise_character	Core premise of the character and story (optional)	キャラクターと物語の核心設定（任意）	캐릭터와 이야기의 핵심 설정(선택 사항)
crs_field_premise_worldbook	Worldview, places, factions and rules (optional)	世界観・場所・勢力・ルール（任意）	세계관, 장소, 세력, 규칙(선택 사항)
crs_field_relationship	Relationship with the user (optional)	ユーザーとの関係（任意）	사용자와의 관계(선택 사항)
crs_field_scenario	Scenario	シナリオ	시나리오
crs_field_secondary_keys	Secondary keywords (comma-separated)	二次キーワード（カンマ区切り）	보조 키워드(쉼표로 구분)
crs_field_system_prompt	System prompt	システムプロンプ트	시스템 프롬프트
crs_field_tags	Tags (comma-separated)	タグ（カンマ区切り）	태그(쉼표로 구분)
crs_field_title_character	Character or story name (optional)	キャラクターまたは物語の名前（任意）	캐릭터 또는 이야기 이름(선택 사항)
crs_field_title_worldbook	World book name (optional)	ワールドブック名（任意）	월드북 이름(선택 사항)
crs_field_worldbook_name	World book name	ワールドブック名	월드북 이름
crs_first_message_preview	Opening text: %1$s	冒頭本文：%1$s	도입 본문: %1$s
crs_frontend_hint	The frontend source code is saved with the opening message. This is a sandboxed preview; verify the final result in real chats in SillyTavern and Tellev.	フロントエンドのソースコードは冒頭メッセージと一緒に保存されます。これは分離されたプレビューです。最終的にはSillyTavernとTellevの実際のチャットで検証してください。	프론트엔드 소스 코드는 도입 메시지와 함께 저장됩니다. 이것은 격리된 미리보기이며, 최종 결과는 SillyTavern과 Tellev의 실제 채팅에서 검증해야 합니다.
crs_home_intro	Chat with a dedicated creation agent to make character cards, frontends or world books.	専用の作成agentと会話して、キャラカード・フロントエンド・ワールドブックを作成します。	전용 창작 agent와 대화하여 캐릭터 카드, 프론트엔드, 월드북을 만듭니다.
crs_home_title	AI Co-creation	AI共同作成	AI 공동 창작
crs_import_failed	Import failed	インポートに失敗しました	가져오기 실패
crs_import_text_file	Import text file	テキストファイルをインポート	텍스트 파일 가져오기
crs_input_label	Tell the agent what to create	agentに作りたいものを伝える	agent에게 만들고 싶은 것을 알려주세요
crs_kind_character	Character card	キャラカード	캐릭터 카드
crs_kind_worldbook	World book	ワールドブック	월드북
crs_length_concise	Concise	簡潔	간결
crs_length_normal	Standard	標準	표준
crs_length_rich	Detailed	詳細	상세
crs_length_title	Content length	本文の分量	본문 분량
crs_loading_draft	Loading draft...	ドラフトを読み込み中…	초안 불러오는 중…
crs_lore_count	Entry %1$d	エントリ %1$d	항목 %1$d
crs_lore_one_by_one	Discuss item by item; confirmed items are written	1件ずつ議論し、確認したものを書き込みます	항목별로 논의하고 확인된 항목을 기록합니다
crs_min_characters_hint	Write at least two characters, one per line.	少なくとも2人のキャラクターを、1行に1人ずつ書いてください。	최소 두 명의 캐릭터를 한 줄에 한 명씩 작성하세요.
crs_mode_chat	Chat while writing	会話しながら執筆	대화하며 집필
crs_mode_direct_draft	Direct to first draft	直接初稿へ	바로 초안으로
crs_multi_characters	Ensemble / multi-character card	群像・マルチキャラカード	군상/멀티 캐릭터 카드
crs_new_character	New character card	新規キャラカード	새 캐릭터 카드
crs_new_worldbook	New world book	新規ワールドブック	새 월드북
crs_no_reasoning	No displayable reasoning text was received this turn; the wait time does not indicate what the model is doing internally.	このターンでは表示可能な思考テキストを受信していませんでした。待機時間はモデルの内部処理を示すものではありません。	이 턴에서는 표시 가능한 사고 텍스트를 받지 못했습니다. 대기 시간이 모델의 내부 처리를 나타내는 것은 아닙니다.
crs_no_stream_fallback	No incremental chunks were received for this request; the full result arrived after %1$d seconds.	このリクエストでは増分チャンクを受信できませんでした。結果は%1$d秒後に一括で到着しました。	이 요청에서는 증분 청크를 받지 못했습니다. 결과는 %1$d초 후 한꺼번에 도착했습니다.
crs_portability_issues	Portability check: %1$s	移植性チェック：%1$s	이식성 검사: %1$s
crs_progress_title	Creation progress	作成の進行状況	창작 진행 상황
crs_provider_connected	Connected to: %1$s	現在の接続：%1$s	현재 연결: %1$s
crs_reasoning_title	Reasoning returned by the model	モデルが返した思考テキスト	모델이 반환한 사고 텍스트
crs_regex_line	Regex: %1$s	正規表現：%1$s	정규식: %1$s
crs_retry_last	Retry last turn	前のターンを再試行	이전 턴 재시도
crs_role_agent	Creation agent	作成agent	창작 agent
crs_role_you	You	あなた	나
crs_save_source	Save source text	原文を保存	원문 저장
crs_save_to_character_list	Save to character list	キャラクター一覧に保存	캐릭터 목록에 저장
crs_save_to_worldbook	Save to world books	ワールドブックに保存	월드북에 저장
crs_script_line	%1$s · %2$s · %3$d chars	%1$s · %2$s · %3$d文字	%1$s · %2$s · %3$d자
crs_selective_entry	Requires secondary keys	二次キーワードを要求	보조 키워드 필요
crs_send	Send	送信	보내기
crs_session_meta	%1$s · %2$d turns · %3$d world book entries	%1$s · %2$dターン · ワールドブック%3$d件	%1$s · %2$d턴 · 월드북 항목 %3$d개
crs_show_latest_only	Latest chunk only	最新チャンクのみ表示	최신 청크만 보기
crs_source_extracted_continue	Extracted %1$d/%2$d characters; you can continue from the saved position.	原文を%1$d/%2$d文字まで抽出しました。保存済み位置から続けられます。	원문을 %1$d/%2$d자 추출했습니다. 저장된 위치에서 계속할 수 있습니다.
crs_source_extracted_short	Extracted %1$d/%2$d characters	原文を%1$d/%2$d文字抽出	원문 %1$d/%2$d자 추출
crs_source_quote	%1$s [%2$d]: %3$s	%1$s [%2$d]：%3$s	%1$s [%2$d]: %3$s
crs_source_saved_pct	Saved %1$d/%2$d characters (%3$d%%)	%1$d/%2$d文字を保存（%3$d%%）	%1$d/%2$d자 저장(%3$d%%)
crs_source_status	%1$s · %2$d/%3$d characters extracted	%1$s · %2$d/%3$d文字を抽出済み	%1$s · %2$d/%3$d자 추출됨
crs_start_extract	Start extracting	段階的な抽出を開始	단계별 추출 시작
crs_start_first_draft	Generate the first draft	初稿を生成	첫 초안 생성
crs_start_guided	Start guided creation	ガイド付き作成を開始	가이드 창작 시작
crs_start_one_by_one	Start item-by-item discussion	1件ずつの議論を開始	항목별 논의 시작
crs_stop	Stop	停止	중지
crs_stream_truncated	Showing the most recent %1$d characters. Expand to view everything.	最新の%1$d文字のみ表示中。展開すると全部見られます。	최근 %1$d자만 표시 중입니다. 펼쳐서 전체를 보세요.
crs_tab_advanced	Advanced assets	高度なリソース	고급 리소스
crs_tab_chat	Chat	会話	대화
crs_tab_frontend	Frontend preview	フロントエンドプレビュー	프론트엔드 미리보기
crs_task_elapsed	Task running for %1$ds	タスク実行時間：%1$d秒	작업 실행 %1$d초
crs_unnamed_character	Unnamed character	名前のないキャラクター	이름 없는 캐릭터
crs_unnamed_draft	Unnamed draft	名称未ドラフト	이름 없는 초안
crs_unnamed_worldbook	Unnamed world book	名称未ワールドブック	이름 없는 월드북
crs_variables_line	Variables: %1$s	変数：%1$s	변수: %1$s
crs_view_draft_stream	View structured draft stream (%1$d chars)	構造化ドラフトストリームを表示（%1$d文字）	구조화 초안 스트림 보기(%1$d자)
crs_view_full_stream	View full stream	完全なストリームを表示	전체 스트림 보기
crs_view_progress	View turn progress · %1$s	このターンの進行状況を表示 · %1$s	이번 턴 진행 상황 보기 · %1$s
crs_waiting_first_chunk	Still waiting for the first streaming chunk.	最初のストリーミングチャンクを待機中です。	첫 스트리밍 청크를 기다리는 중입니다.
crs_waiting_provider_text	Waiting for the provider to return displayable text...	プロバイダーが表示可能なテキストを返すのを待っています…	공급자가 표시 가능한 텍스트를 반환하기를 기다리는 중…
crmodels_frontend_script	Contains scripts	スクリプトを含む	스크립트 포함
crmodels_frontend_inline_event	Contains inline events	インラインイベントを含む	인라인 이벤트 포함
crmodels_frontend_forbidden_tag	Contains tags outside the allowed set for both platforms	両プラットフォームの許可範囲外のタグを含む	양쪽 플랫폼 허용 범위 밖의 태그 포함
crmodels_frontend_external_ref	Depends on external links or resources	外部リンクやリソースに依存	외부 링크 또는 리소스 의존
crmodels_frontend_dynamic_style	Contains external or dynamic styles	外部または動的スタイルを含む	외부 또는 동적 스타일 포함
crmodels_frontend_template_var	Contains template variables that may rely on runtime extensions	ランタイム拡張に依存する可能性のあるテンプレート変数を含む	런타임 확장에 의존할 수 있는 템플릿 변수 포함
crrepo_error_invalid_cover	The cover must be a valid PNG of at most 10 MB.	カバーは10MB以下の有効なPNGである必要があります。	커버는 10MB 이하의 유효한 PNG여야 합니다.
crrepo_error_cover_checksum	Cover verification failed. Please choose another image.	カバーの検証に失敗しました。別の画像を選んでください。	커버 검증에 실패했습니다. 다른 이미지를 선택하세요.
crrepo_error_source_checksum	Source text verification failed. Please import it again.	原文の検証に失敗しました。再度インポートしてください。	원문 검증에 실패했습니다. 다시 가져와 주세요.
crvm_draft_deleted	Creation draft deleted.	作成ドラフトを削除しました。	창작 초안을 삭제했습니다.
crvm_cover_saved	Cover saved to the creation draft.	カバーを作成ドラフトに保存しました。	커버를 창작 초안에 저장했습니다.
crvm_saved_to_device	Saved to this device. Cross-platform behavior still needs real verification.	この端末に保存しました。実際の両プラットフォームでの動作は要検証です。	이 기기에 저장했습니다. 실제 양쪽 플랫폼에서의 동작은 검증이 필요합니다.
crvm_source_saved	Source text saved. You can start extracting section by section.	原文を保存しました。段階的な抽出を開始できます。	원문을 저장했습니다. 단계별 추출을 시작할 수 있습니다.
crvm_extract_done	Extraction finished. Review each entry, then save the world book.	抽出が完了しました。各エントリを確認してからワールドブックを保存してください。	추출이 완료되었습니다. 각 항목을 확인한 후 월드북을 저장하세요.
crvm_op_read_card	Read character card	キャラカードを読む	캐릭터 카드 읽기
crvm_op_read_worldbook	Read world book	ワールドブックを読む	월드북 읽기
crvm_op_converse	Creation chat	作成会話	창작 대화
crvm_op_save_source	Save source text	原文を保存	원문 저장
crvm_op_extract	World book long-text extraction	ワールドブック長文抽出	월드북 장문 추출
crvm_phase_reading_card	Reading character card	キャラカードを読み込み中	캐릭터 카드 읽는 중
crvm_phase_card_loaded	Character card loaded	キャラカードを読み込みました	캐릭터 카드 로드됨
crvm_phase_source_card_loaded	Source character card loaded	元キャラカードを読み込みました	원본 캐릭터 카드 로드됨
crvm_phase_reading_worldbook	Reading world book	ワールドブックを読み込み中	월드북 읽는 중
crvm_phase_worldbook_loaded	World book loaded	ワールドブックを読み込みました	월드북 로드됨
crvm_phase_preparing	Preparing request	リクエストを準備中	요청 준비 중
crvm_phase_verify_save	Validating and saving draft	ドラフトを検証して保存中	초안 검증 및 저장 중
crvm_phase_turn_done	Turn complete	このターンが完了	이번 턴 완료
crvm_phase_stopped_saved	Stopped. Completed draft changes were saved and you can continue.	停止しました。完了済みのドラフト変更は保存済みです。続行できます。	중지되었습니다. 완료된 초안 변경은 저장되었으며 계속할 수 있습니다.
crvm_phase_stopped_not_applied	Stopped. This turn's draft changes were not applied.	停止しました。このターンのドラフト変更は適用されていません。	중지되었습니다. 이번 턴의 초안 변경은 적용되지 않았습니다.
crvm_phase_interrupted_saved	Interrupted. Completed draft changes were saved and you can continue.	中断されました。完了済みのドラフト変更は保存済みです。続行できます。	중단되었습니다. 완료된 초안 변경은 저장되었으며 계속할 수 있습니다.
crvm_phase_turn_failed	Turn failed; draft changes were not applied	このターンは失敗しました。ドラフト変更は適用されていません	이번 턴 실패, 초안 변경은 적용되지 않았습니다
crvm_phase_saving_source	Saving source text	原文を保存中	원문 저장 중
crvm_phase_source_saved	Source text saved	原文を保存しました	원문 저장됨
